Object Name,Object ID,Property ID,Index,Value,Description
D2 Head Pressure,analogInput:126,presentValue,,0.00,D2 Head Pressure
D1 Saturation Temperature,analogInput:127,presentValue,,0.00,D1 Saturation Temperature
D2 Saturation Temperature,analogInput:128,presentValue,,0.00,D2 Saturation Temperature
D1 Suction Line Temperature,analogInput:129,presentValue,,0.00,D1 Suction Line Temperature
D2 Suction Line Temperature,analogInput:130,presentValue,,0.00,D2 Suction Line Temperature
D1 Condenser Suction Temp (Heat Pump),analogInput:131,presentValue,,0.00,D1 Condenser Suction Temp (Heat Pump)
D2 Condenser Suction Temp (Heat Pump),analogInput:132,presentValue,,0.00,D2 Condenser Suction Temp (Heat Pump)
D1 Superheat Temperature,analogInput:133,presentValue,,0.00,D1 Superheat Temperature
D2 Superheat Temperature,analogInput:134,presentValue,,0.00,D2 Superheat Temperature
Condenser D1 Superheat (Heat Pump),analogInput:135,presentValue,,0.00,Condenser D1 Superheat (Heat Pump)
Condenser D2 Superheat (Heat Pump),analogInput:136,presentValue,,0.00,Condenser D2 Superheat (Heat Pump)
D1 Expansion Valve Position,analogInput:137,presentValue,,0.00,D1 Expansion Valve Position
D2 Expansion Valve Position,analogInput:138,presentValue,,0.00,D2 Expansion Valve Position
Condenser D1 Expansion Valve Position,analogInput:139,presentValue,,0.00,Condenser D1 Expansion Valve Position
Condenser D2 Expansion Valve Position,analogInput:140,presentValue,,0.00,Condenser D2 Expansion Valve Position
D1 Discharge Temperature,analogInput:141,presentValue,,0.00,D1 Discharge Temperature
D2 Discharge Temperature,analogInput:142,presentValue,,0.00,D2 Discharge Temperature
D1 Leaving Water Temp,analogInput:143,presentValue,,0.00,D1 Leaving Water Temp
Line Frequency,analogInput:299,presentValue,,0.00,Line Frequency
Line Voltage 1-2,analogInput:300,presentValue,,0.00,Line Voltage 1-2
Line Voltage 2-3,analogInput:301,presentValue,,0.00,Line Voltage 2-3
Line Voltage 3-1,analogInput:302,presentValue,,0.00,Line Voltage 3-1
Average Line Voltage,analogInput:303,presentValue,,0.00,Average Line Voltage
Total Phase A Current,analogInput:304,presentValue,,0.00,Total Phase A Current
Total Phase B Current,analogInput:305,presentValue,,0.00,Total Phase B Current
Total Phase C Current,analogInput:306,presentValue,,0.00,Total Phase C Current
Average Phase Current,analogInput:307,presentValue,,0.00,Average Phase Current
Phase A Power,analogInput:308,presentValue,,0.00,Phase A Power
Phase B Power,analogInput:309,presentValue,,0.00,Phase B Power
Phase C Power,analogInput:310,presentValue,,0.00,Phase C Power
Total System Power,analogInput:311,presentValue,,0.00,Total System Power
Phase A Reactive Power,analogInput:312,presentValue,,0.00,Phase A Reactive Power
Phase B Reactive Power,analogInput:313,presentValue,,0.00,Phase B Reactive Power
Phase C Reactive Power,analogInput:314,presentValue,,0.00,Phase C Reactive Power
Total Reactive Power,analogInput:315,presentValue,,0.00,Total Reactive Power
Phase A Apparent Power,analogInput:316,presentValue,,0.00,Phase A Apparent Power
Phase B Apparent Power,analogInput:317,presentValue,,0.00,Phase B Apparent Power
Phase C Apparent Power,analogInput:318,presentValue,,0.00,Phase C Apparent Power
Total Apparent Power,analogInput:319,presentValue,,0.00,Total Apparent Power
Phase A Power Factor,analogInput:320,presentValue,,0.00,Phase A Power Factor
Phase B Power Factor,analogInput:321,presentValue,,0.00,Phase B Power Factor
Phase C Power Factor,analogInput:322,presentValue,,0.00,Phase C Power Factor
Total Power Factor,analogInput:323,presentValue,,0.00,Total Power Factor
Occupied Cooling Setpoint,analogValue:1,presentValue,,75.00,Occupied Cooling Setpoint
Occupied Heating Setpoint,analogValue:2,presentValue,,68.00,Occupied Heating Setpoint
Hood On Cooling Setpoint,analogValue:3,presentValue,,75.00,Hood On Cooling Setpoint
Hood On Heating Setpoint,analogValue:4,presentValue,,70.00,Hood On Heating Setpoint
Unoccupied Cooling Offset,analogValue:5,presentValue,,5.00,Unoccupied Cooling Offset
Unoccupied Heating Offset,analogValue:6,presentValue,,5.00,Unoccupied Heating Offset
Mode Select Deadband,analogValue:7,presentValue,,1.00,Mode Select Deadband
Max Coil Setpoint Reset Limit,analogValue:8,presentValue,,45.00,Max Coil Setpoint Reset Limit
Min Coil Setpoint Reset Limit,analogValue:9,presentValue,,40.00,Min Coil Setpoint Reset Limit
Supply Air Cooling Setpoint,analogValue:10,presentValue,,55.00,Supply Air Cooling Setpoint
Supply Air Heating Setpoint,analogValue:11,presentValue,,120.00,Supply Air Heating Setpoint
Max SAT Cooling Setpoint Reset Limit,analogValue:12,presentValue,,55.00,Max SAT Cooling Setpoint Reset Limit
Max SAT Heating Setpoint Reset Limit,analogValue:13,presentValue,,120.00,Max SAT Heating Setpoint Reset Limit
Supply Air Cooling Staging Window,analogValue:14,presentValue,,5.00,Supply Air Cooling Staging Window
Supply Air Heating Staging Window,analogValue:15,presentValue,,5.00,Supply Air Heating Staging Window
Warm-Up Target Temperature,analogValue:16,presentValue,,68.00,Warm-Up Target Temperature
Warm-Up Mode Supply Air Setpoint,analogValue:17,presentValue,,100.00,Warm-Up Mode Supply Air Setpoint
Cool-Down Mode Supply Air Setpoint,analogValue:18,presentValue,,55.00,Cool-Down Mode Supply Air Setpoint
Mechanical Cooling Outdoor Air Lockout,analogValue:19,presentValue,,50.00,Mechanical Cooling Outdoor Air Lockout
Mechanical Heating Outdoor Air Lockout,analogValue:20,presentValue,,90.00,Mechanical Heating Outdoor Air Lockout
Low Supply Temp Cutoff Alarm,analogValue:21,presentValue,,40.00,Low Supply Temp Cutoff Alarm
High Supply Temp Cutoff Alarm,analogValue:22,presentValue,,150.00,High Supply Temp Cutoff Alarm
Preheater Cooling Mode Setpoint,analogValue:23,presentValue,,40.00,Preheater Cooling Mode Setpoint
Preheater Venting Mode Setpoint,analogValue:24,presentValue,,50.00,Preheater Venting Mode Setpoint
Preheater Heating Mode Setpoint,analogValue:25,presentValue,,60.00,Preheater Heating Mode Setpoint
Outdoor Air Dewpoint Setpoint,analogValue:26,presentValue,,55.00,Outdoor Air Dewpoint Setpoint
Economizer Enable Setpoint,analogValue:27,presentValue,,55.00,Economizer Enable Setpoint
Heat Wheel Defrost Active,analogValue:28,presentValue,,30.00,Heat Wheel Defrost Active
PreHeat Enable Setpoint,analogValue:29,presentValue,,30.00,PreHeat Enable Setpoint
Sensor Slide Offset Max Effect,analogValue:30,presentValue,,0.00,Sensor Slide Offset Max Effect
Space Sensor Calibration Offset,analogValue:31,presentValue,,0.00,Space Sensor Calibration Offset
Supply Air Sensor Calibration Offset,analogValue:32,presentValue,,0.00,Supply Air Sensor Calibration Offset
Return Air Sensor Calibration Offset,analogValue:33,presentValue,,0.00,Return Air Sensor Calibration Offset
Outdoor Air Sensor Calibration Offset,analogValue:34,presentValue,,0.00,Outdoor Air Sensor Calibration Offset
